Associated Gene Name	Chromosome Name	Gene Start (bp)	Gene End (bp)
ESM1	5	54977864	55022671
B3GALT4	CHR_HSCHR6_MHC_COX_CTG1	33198732	33200425
TMEM40	3	12733525	12769457
SKA1	CHR_HSCHR18_1_CTG1_1	50374995	50394173
LRRC3C	17	39941474	39944747
SPC25	2	168834132	168913371
SERTAD3	19	40440844	40444705
APOC3	11	116829706	116833072
ERGIC2	12	29337352	29381189
DDX39A	19	14408819	14419383
ARMC10	CHR_HSCHR7_1_CTG4_4	103086630	103099764
PRRC1	5	127517609	127555089
KCNMB4	12	70366276	70434292
LRRC8C	1	89633072	89769903
SLC16A13	17	7036075	7040121
PDE7A	8	65717510	65842322
L1TD1	1	62194831	62212328
SLC39A5	12	56230049	56237846
TAP1	CHR_HSCHR6_MHC_MANN_CTG1	32998969	33007738
SLC1A5	19	46774883	46788594
ASB10	7	151175698	151187832
NUCB2	11	17208153	17349974
OSCP1	1	36415827	36450451
RIOK3	18	23452823	23486603
NOTCH4	CHR_HSCHR6_MHC_COX_CTG1	32143311	32172533
FCRLB	1	161721563	161728143
EPSTI1	13	42886388	42992271
SCIN	7	12570577	12660179
UBR5	8	102253012	102412841
FAM183A	1	43145153	43156396
EDN3	20	59300427	59325992
ALDH1L2	12	105019784	105084577
MSN	X	65588377	65741931
CPSF2	14	92121937	92172145
TOX3	16	52438005	52547802
COL11A2	CHR_HSCHR6_MHC_QBL_CTG1	33091492	33121309
TC2N	CHR_HSCHR14_1_CTG1	91783410	91840185
ARHGAP6	X	11137543	11665701
HECW1	7	43112599	43566001
SMPD1	11	6390431	6394998
IQSEC1	3	12897220	13073117
PRR19	19	42302098	42310821
KCNA10	1	110517251	110518838
TMEM161B	5	88189633	88269476
TMPRSS7	3	112034843	112081269
C11orf16	11	8920076	8933006
CACUL1	10	118674167	118755249
TEKT4	2	94871433	94876829
SP110	2	230167293	230225729
B4GALT6	18	31622247	31685836
CDK16	X	47217860	47229997
ARL5C	17	39156894	39167484
C9orf72	9	27546545	27573866
MYL12A	18	3247481	3256236
TTC28	22	27978014	28679865
JAK2	9	4985033	5128183
GPR108	19	6729914	6737603
NFIB	9	14081843	14398983
ZNF793	19	37506939	37548762
STK17A	7	43582758	43626786
CSF3	17	40015361	40017813
DUSP12	1	161749758	161757238
GNG8	19	46634076	46634685
SAPCD1	CHR_HSCHR6_MHC_COX_CTG1	31750175	31752228
FANCI	15	89243949	89317261
SLC25A33	1	9539482	9585179
TMEM52	1	1917590	1919273
CERS6	2	168455862	168775137
NDNL2	CHR_HSCHR15_4_CTG8	29409413	29411093
SPO11	20	57329759	57343994
GPR32	19	50770464	50771732
OSBP2	22	30693782	30907824
NUGGC	8	28021964	28083871
WDR11	10	120851175	120909524
CSNK2B	CHR_HSCHR6_MHC_COX_CTG1	31652646	31660956
BGN	X	153494939	153509554
SLC26A1	4	979073	993440
IMPA2	18	11981025	12030883
OR2H2	6	29587455	29589038
GPX8	5	55160118	55167071
CNIH2	11	66278190	66285301
SLC16A3	17	82228397	82261129
HLCS	21	36750888	36990236
PRSS21	16	2817180	2826304
GPR158	10	25175062	25602226
NPTX2	7	98617297	98629868
CDR2L	17	74987632	75005800
GPR139	16	20031485	20073917
C11orf30	11	76444923	76553025
CHADL	22	41229510	41240934
ARRDC1	9	137605654	137615360
NCKAP5	2	132671799	133568463
PLA2G4B	15	41837775	41848147
FBXO3	11	33740939	33774543
ARID2	12	45729665	45908040
CTAGE5	14	39265284	39388513
CYYR1	21	26466209	26573284
AKR7A3	1	19282558	19289250
ZNF557	19	7069444	7087968
NARS2	11	78435961	78574874
IGSF5	21	39745407	39802096
MAGOHB	12	10604190	10613623
C1orf101	1	244454377	244641177
NDUFV3	21	42879644	42913304
RHAG	6	49605158	49636839
UBC	12	124911604	124917368
NPPA	1	11845709	11848345
OR2T33	1	248272852	248273814
EIF5A	17	7306999	7312463
OR8B3	11	124396382	124397368
EZH2	7	148807383	148884321
SH3GLB1	1	86704570	86748184
SOWAHA	5	132813587	132816797
PLEKHH1	14	67533301	67589612
OR2T12	1	248294616	248295578
PAFAH1B3	19	42297033	42303546
MYPN	10	68106117	68212017
CAPNS2	16	55566672	55567687
NXN	CHR_HSCHR17_2_CTG2	978299	979770
REPIN1	7	150368189	150374044
CELF3	1	151702404	151716814
TAS2R39	7	143183419	143184435
DGKA	12	55927319	55954027
KIF18A	11	28020620	28108308
LFNG	7	2512529	2529177
ANKRD11	16	89267627	89490561
AFAP1	4	7758714	7939926
RLBP1	15	89209869	89221751
TRAPPC1	17	7930345	7932123
C11orf73	11	86302211	86345931
PRLH	2	237566574	237567175
GNA11	19	3094410	3124004
SIRT1	10	67884669	67918390
ARHGEF6	X	136665547	136782088
SNW1	14	77717599	77761207
PRR5	22	44668547	44737681
SURF6	9	133328774	133336398
PBK	8	27809620	27838095
CHCHD7	8	56211686	56218798
PKD1	16	2088710	2135898
RALGAPA2	20	20389552	20712488
ADCK1	14	77800083	77935012
GTF3A	13	27424544	27435823
ORAI2	7	102433106	102456821
METTL13	1	171781664	171814023
MAPK7	17	19377721	19383544
PKP2	12	32790745	32896840
NFIC	19	3359563	3469217
ICA1L	2	202773150	202871985
FAM73B	9	129036621	129072082
PQLC2	1	19312326	19329300
FNTB	14	64986720	65062652
SLC38A4	12	46764761	46832408
NDP	X	43948776	43973504
IGSF11	3	118900557	119146068
VARS	CHR_HSCHR6_MHC_APD_CTG1	31844536	31862971
HSP90AA1	14	102080738	102139699
IFT46	11	118544528	118572970
SLURP1	8	142740944	142742411
PDZD4	X	153802166	153830565
EMP1	12	13196716	13219939
ANKRD16	10	5861617	5889906
ACP5	19	11574660	11579008
PRDM8	4	80183879	80204329
SLC10A4	4	48483343	48489196
KLK15	19	50825289	50837213
C14orf142	14	93202894	93207094
HTT	4	3074681	3243959
TM2D2	8	38988808	38996824
LYPD2	8	142750150	142752534
ABCA7	19	1040101	1065572
RHOV	15	40872214	40874289
CSRNP2	12	51061205	51083664
STAU1	20	49113339	49188367
USP26	X	133024631	133097109
ATF6	1	161766294	161964070
LIPK	10	88724544	88752786
PES1	22	30576625	30607083
TCEAL5	X	103273691	103276872
ELFN1	7	1688119	1747954
WIF1	12	65050626	65121566
OR14J1	CHR_HSCHR6_MHC_COX_CTG1	29303399	29304364
CYP2A13	19	41088472	41096195
PCK2	14	24094053	24110598
B9D2	19	41354421	41364173
KCNH3	12	49539157	49558308
NR5A1	9	124481236	124507430
MMP1	11	102789920	102798160
TSPAN5	4	98470367	98658629
NUDCD1	8	109240919	109334385
SLC35A4	5	140564456	140569103
PAX7	1	18631006	18748866
EIF4G1	3	184314495	184335358
KIF26A	14	104138723	104180894
SLC47A2	17	19678288	19718979
TAPBP	CHR_HSCHR6_MHC_QBL_CTG1	33228522	33243221
FOXI2	10	127737235	127741186
KRTAP3-3	17	40993430	40994133
MSANTD2	11	124766498	124800673
KIR2DL4	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	54848094	54859121
DHX36	CHR_HSCHR3_2_CTG2_1	154275723	154284039
SETD6	16	58515479	58521181
SLC29A3	10	71319258	71363385
C11orf45	11	128899565	128906035
RHOBTB1	10	60869438	61001440
OLFML2B	1	161983192	162023854
NEURL1B	5	172641266	172691540
RABGAP1L	1	174159410	174995308
SUGP1	19	19276018	19320844
ACADL	2	210187939	210225491
TMEM63A	1	225845536	225882369
UNC119	17	28546707	28552668
RPL35A	3	197949987	197956610
ERI2	16	20780193	20900349
HLA-DQA1	CHR_HSCHR6_MHC_MANN_CTG1	32780908	32803273
MAP1B	5	72107234	72209570
ABCF1	CHR_HSCHR6_MHC_MANN_CTG1	30616012	30641816
CPO	2	206939554	206969474
C1orf226	1	162366908	162386818
PCM1	8	17922840	18029944
BCKDHB	6	80106647	80346270
CENPJ	13	24882284	24922889
NDFIP1	5	142108505	142154443
ARHGAP9	12	57472255	57488814
PRR13	12	53441605	53446645
PDE4A	19	10416773	10469631
THTPA	14	23555988	23560271
NME5	5	138115172	138139443
TNNT3	11	1919562	1938706
TSEN34	19	54189938	54194536
KIRREL3	11	126423359	127003460
USH1G	17	74916084	74923256
LETMD1	12	51047962	51060424
CPLX2	5	175796310	175884020
HSPA1L	6	31809619	31815065
EIF5B	2	99337353	99401326
NXPH3	17	49575858	49583827
ERAP2	5	96875939	96919716
VPS39	15	42158701	42208316
DCAF16	4	17800655	17810758
PNPLA1	6	36243203	36308595
NOS1AP	1	162069774	162370475
C1orf94	1	34166883	34219131
CGNL1	15	57375967	57550727
PPP1R32	11	61481120	61490931
PLVAP	19	17351448	17377350
OR2V1	5	181124357	181125304
WBP2	17	75845699	75856507
FAM60A	CHR_HSCHR12_4_CTG2	31282857	31329331
PDGFA	7	497258	520296
APC2	19	1446302	1473244
OR2V2	5	181154943	181155890
GZMK	5	55024253	55034570
MAP3K13	3	185282941	185489097
PRRC2A	CHR_HSCHR6_MHC_MANN_CTG1	31660168	31677219
SOX8	16	981808	986979
SEH1L	18	12947133	12987536
MAPT	CHR_HSCHR17_2_CTG5	45906010	46039943
PDGFC	4	156760454	156971394
RDM1	CHR_HSCHR17_7_CTG4	35918066	35930773
CALN1	7	71779491	72447151
HLA-DQA2	CHR_HSCHR6_MHC_COX_CTG1	32565587	32671108
AVL9	7	32495426	32588721
NPRL2	3	50347330	50351091
DCP2	5	112976702	113020970
NSMCE1	16	27224991	27268794
RPP21	6	30345131	30346884
OR2H1	CHR_HSCHR6_MHC_MCF_CTG1	29456962	29464109
OR2M7	1	248323630	248324568
EPHB6	CHR_HSCHR7_2_CTG6	142916237	142932255
ADAP2	17	30906344	30959322
LGALS13	19	39602501	39607476
ZNF592	15	84748635	84806432
FBXO33	14	39397669	39432500
APEX1	14	20455191	20457772
REEP5	5	112876379	112922539
GNL3L	X	54530211	54561071
ITGB4	17	75721328	75757818
NUP98	11	3671083	3797792
NARFL	16	729753	741329
ADAL	15	43330674	43354555
ARHGAP33	19	35774532	35788822
SCNN1G	16	23182715	23216883
CDKAL1	6	20534457	21232404
MAP3K9	14	70722526	70809534
C1orf111	1	162373203	162376870
HAAO	2	42767089	42792593
ZNF707	8	143684452	143713898
ASNA1	19	12737139	12748323
SLC6A2	16	55655604	55706192
THOP1	19	2785460	2815807
KRTAP16-1	17	41307700	41309253
GART	CHR_HSCHR21_4_CTG1_1	33508081	33521016
SPEF2	5	35617844	35814611
CEP85	1	26234153	26279038
RAB5C	17	42124976	42155044
CASR	3	122183683	122286503
FBXO44	1	11654375	11663327
NTN3	16	2471499	2474145
AKR1B15	7	134549136	134579875
ABHD10	3	111979010	111993363
SYT12	11	67006778	67050863
KCTD9	8	25427847	25458476
P2RX1	17	3896592	3916500
CLP1	11	57648992	57661868
COLQ	3	15450133	15521751
RBM43	2	151247940	151261879
SPIB	19	50418938	50431313
KNG1	3	186717276	186743954
HIF1AN	10	100529072	100559998
INSIG1	7	155297776	155310235
RNASE4	14	20684100	20701215
IL17RC	3	9917074	9933630
CD74	5	150401637	150412929
KRTAP3-2	17	40999193	40999894
SYF2	1	25222679	25232502
CA4	17	60149936	60170899
CCR3	3	46163604	46266706
DSCAML1	11	117427773	117817525
DTX3	12	57604622	57609804
BRD3	9	134030305	134068535
PCDHB1	5	141051135	141059344
CPA3	3	148865256	148897196
SLC5A11	16	24845841	24911628
FAM208B	10	5684838	5763740
RRP12	10	97356358	97426076
CHCHD2	7	56101569	56106576
CMAS	12	22046174	22065674
SLFNL1	1	41015597	41023237
AGBL5	2	27042364	27070622
ANO4	CHR_HSCHR12_3_CTG2_1	101111599	101128641
ZNF732	4	270675	305321
LCN1	9	135521438	135526532
CCL11	17	34285668	34288334
LILRA4	CHR_HSCHR19LRC_COX2_CTG3_1	54315894	54346149
COL4A2	13	110305812	110513027
NIPA2	15	22838641	22868384
RAB31	18	9708165	9862551
NGFR	17	49495293	49515017
ITGB1BP1	2	9403475	9423547
CPNE5	6	36740775	36840002
ZAR1	4	48490252	48494389
IAPP	12	21354959	21379978
HLA-DPB1	6	33075926	33087201
PLEKHD1	14	69484692	69531551
SPAG7	17	4959226	4967872
ZNF511	10	133308475	133313162
C9orf3	9	94726701	95087218
WNK3	X	54192823	54358642
ASGR2	17	7101322	7115700
STXBP3	1	108746674	108809526
KIR3DL3	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	54724453	54736091
CRYBB3	22	25199850	25207363
PRRC2A	6	31620720	31637771
EBF1	5	158695916	159099761
HSDL2	9	112379937	112472410
SLC17A8	12	100357079	100422059
STEAP1	7	90154375	90164829
RAPGEF2	4	159104178	159360169
RINL	19	38867834	38878279
CTSC	11	88293592	88337787
BAIAP3	16	1333601	1349441
ZMYND10	3	50341110	50346852
WNT6	2	218859821	218874233
SLC36A3	5	151276762	151303766
PER3	1	7784320	7845177
LINGO4	1	151800264	151806154
ZIM3	19	57134096	57145202
CCL4	CHR_HSCHR17_7_CTG4	36103979	36106010
EXOC6	10	92834713	93059493
SV2A	1	149903318	149917882
ZNF114	19	48172318	48287608
PURA	5	140107777	140125619
SESTD1	2	179101692	179264790
TNRC6B	22	40044817	40335808
MLC1	22	50059391	50085902
ANG	14	20684177	20698971
CLDN20	6	155264013	155276548
LAYN	11	111540280	111561745
TBC1D5	3	17157162	18444817
DYNC1I2	2	171687409	171748420
LRRC8B	1	89524836	89597864
TTLL1	22	43039644	43089428
PCF11	11	83156988	83187451
NGRN	15	90265659	90278141
DGUOK	2	73926826	73958961
ARMC4	10	27812164	27999048
NCR1	CHR_HSCHR19_4_CTG3_1	54914255	54924255
URB2	1	229626234	229660199
PPP1R3F	X	49269843	49301461
LAPTM4A	2	20032650	20052028
SCRT2	20	661596	676179
RLF	1	40161373	40240921
VWCE	11	61258286	61295424
SESN2	1	28259527	28282491
SENP1	12	48042898	48106308
CCDC22	X	49235467	49250526
C17orf49	17	7014495	7017525
APBA1	CHR_HSCHR9_1_CTG2	69435727	69484339
STOML1	15	73978923	73994622
GALNT6	12	51351247	51392867
TAS2R13	CHR_HSCHR12_2_CTG2	10907926	10909562
KSR1	17	27456714	27626438
PTRHD1	2	24789734	24793382
NPHP4	1	5862811	5992473
CSGALNACT2	10	43138486	43185308
SLC25A28	10	99610522	99620609
EIF4EBP3	5	140547666	140549578
METTL16	17	2405562	2511891
PLCL1	2	197804702	198572581
ST8SIA5	18	46667821	46759257
SLC10A6	4	86823468	86849263
FAM46C	1	117605934	117628372
PTPRC	1	198638671	198757283
SLC22A12	11	64590641	64602353
PRKACB	1	84078062	84238498
CNNM2	10	102918293	103090221
ZNF506	19	19785839	19821751
MVP	16	29820394	29848039
NPAT	11	108157215	108222642
AFAP1L2	10	114294824	114404756
HCN4	15	73319859	73369264
LRRC18	10	48909483	48935190
IL15RA	10	5937569	5978187
WNT11	11	76186325	76210736
HEXA	15	72340919	72376476
CHRM4	11	46385098	46386608
PIGP	21	37059170	37073170
PPP1R11	CHR_HSCHR6_MHC_DBB_CTG1	30057032	30060656
FCAR	19	54874248	54890472
JUP	17	41754604	41786931
CALML3	10	5524009	5526771
KIAA0513	16	85027751	85094230
UBXN6	19	4444999	4457822
SRXN1	20	646615	653370
CCDC74A	2	131527675	131533666
TBC1D21	15	73873608	73889214
KLK2	19	50861568	50880567
TEX33	22	36991120	37007841
DBP	19	48630030	48637438
CASS4	20	56412112	56460387
FAM189A2	9	69324572	69392455
RASA3	13	113977783	114132611
CCL16	17	35976493	35981496
TNFAIP8L3	15	51056598	51105276
B4GALT1	9	33104082	33167356
OR14C36	1	248348775	248349713
GNAI3	1	109548611	109618321
TAX1BP3	17	3662896	3668682
ASB2	14	93934153	93976791
EGLN2	19	40798996	40808433
MT1M	16	56632233	56633986
SRGN	10	69088106	69104811
NDRG1	8	133237171	133302022
VSTM2L	20	37903104	37945350
ST8SIA1	12	22063773	22437041
PSMB1	6	170535117	170553341
PLEKHJ1	19	2230084	2237704
DUOX2	15	45092650	45114344
MARVELD2	5	69415112	69444330
FBXO32	8	123497889	123541206
GPC1	2	240435671	240468078
ZGLP1	19	10304803	10309880
CCDC137	17	81666364	81673904
ZNRD1	6	30058899	30064909
GMPS	3	155870536	155944026
YIPF3	6	43511827	43516990
PROC	2	127418427	127429246
DAND5	19	12965159	12974762
TNF	CHR_HSCHR6_MHC_QBL_CTG1	31565793	31568564
MAP2K7	19	7903843	7914478
C11orf68	11	65916808	65919117
FAM92A1	8	93698561	93731527
VMO1	17	4785285	4786433
SYNGR3	16	1989660	1994275
SUPT7L	2	27650812	27663840
PNKD	2	218270392	218346793
AMELX	X	11293413	11300761
GSK3A	19	42230186	42242625
ZZEF1	17	4004445	4143020
ENPEP	4	110365733	110565285
ZSCAN22	19	58327019	58342332
UBXN7	3	196347662	196432474
CD1E	1	158353696	158357553
ZFP57	CHR_HSCHR6_MHC_QBL_CTG1	29672300	29681010
SIGLEC14	19	51642553	51646801
ZNF280A	22	22513736	22520270
PCDHB2	5	141094578	141098703
RTP1	3	187197486	187201465
B2M	CHR_HSCHR15_3_CTG8	44711489	44718888
SLC35A3	1	99969789	100026979
ADNP	20	50888919	50931240
FOPNL	CHR_HSCHR16_1_CTG1	15950862	15973769
OR6K2	1	158699678	158700652
ATP6AP1	X	154428632	154436516
PAX1	20	21705659	21718486
CLRN3	10	127877841	127892947
VWA7	CHR_HSCHR6_MHC_DBB_CTG1	31747771	31759475
TAS2R40	7	143222037	143223079
ANTXR2	4	79901149	80125454
TBC1D17	19	49877425	49888749
GSTK1	7	143244093	143270854
AK8	9	132725578	132878777
LALBA	12	48567684	48570066
UNC13D	17	75827225	75844717
ANKRD29	18	23598926	23662885
KREMEN1	22	29073078	29168333
SFRP1	8	41261958	41309497
TRPM6	9	74722495	74888094
BMPER	7	33904911	34155872
TMEM174	5	73173195	73175143
CAMSAP3	19	7595902	7618304
GMFB	14	54474484	54489196
WFDC10B	20	45684653	45705019
ATP5SL	19	41431318	41440717
YPEL4	11	57645087	57649944
SCG3	15	51681353	51721031
GRTP1	13	113324164	113364148
SGMS2	4	107824563	107915047
ZNF780A	19	40069152	40090938
RRBP1	20	17613678	17682295
RBM23	14	22893206	22919184
MCMBP	10	119829404	119892556
KIR2DL4	CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	54789822	54800920
AR	X	67544032	67730619
EGFR	7	55019021	55256620
NOTCH4	CHR_HSCHR6_MHC_SSTO_CTG1	32202513	32231740
C7orf61	7	100456615	100464271
TRIM8	10	102644496	102658407
CASP10	2	201182881	201229406
MGAT4C	12	85955666	86838904
KIAA1143	3	44737661	44761662
KIF22	16	29790719	29805385
ZNF236	18	76822607	76970727
KCNA2	1	110593580	110631474
SLCO1A2	12	21264600	21419594
FBXW9	19	12688053	12696643
EMC8	16	85771758	85799608
ZFP57	CHR_HSCHR6_MHC_DBB_CTG1	29672345	29681055
ANKS6	9	98731329	98796965
PLP2	X	49171926	49175239
LIN54	4	82909973	83012926
FKBP1A	20	1368978	1393172
DEFA6	8	6924693	6926076
RPP21	CHR_HSCHR6_MHC_SSTO_CTG1	30335053	30336806
MESDC2	15	80946289	80989878
TMEM211	22	24935110	24946695
PATE3	11	125788111	125791600
ADCY8	8	130780301	131042426
SLC16A6	17	68267026	68291267
CADM3	1	159171609	159203313
B9D1	17	19337554	19378182
INTS5	11	62646848	62653302
GDPD3	16	30104810	30113856
MAEL	1	166975582	167022214
TSC22D4	7	100463359	100479279
TMEM200C	18	5882072	5895955
C6orf25	CHR_HSCHR6_MHC_COX_CTG1	31706001	31714117
WDR86	7	151375909	151410727
VSTM4	10	49014245	49115509
AGER	CHR_HSCHR6_MHC_APD_CTG1	32247977	32251333
STXBP4	17	54968727	55173632
RNASET2	6	166929504	166957191
ATP9B	18	79069285	79378283
FAM212A	3	49803254	49805030
PBX1	1	164555584	164899296
SSR3	3	156540140	156555184
SLC13A2	17	28473293	28497781
GADD45G	9	89605013	89606555
TNNI1	1	201403768	201429866
NOP2	12	6556863	6568691
PSMC3IP	17	42572315	42577831
POLR2L	11	837356	842545
C16orf72	16	9091648	9121640
MFSD6	2	190408355	190509205
GABBR1	6	29555629	29633976
SUMO3	21	44805617	44818779
CAPN5	11	77066932	77126155
DUXA	19	57154021	57167443
SFT2D1	6	166319728	166342591
NXF1	11	62792123	62806302
L3MBTL2	22	41205205	41231271
MEGF11	CHR_HSCHR15_2_CTG8	65909030	66265884
TPD52L2	20	63865228	63891545
SLC28A1	15	84884654	84945796
PHB2	12	6965327	6970825
TRIM52	5	181254417	181261139
C16orf62	16	19555240	19706793
SYNGAP1	6	33420070	33457541
HCRT	17	42184060	42185452
RC3H2	9	122844556	122905341
CDC20B	5	55112995	55173175
TTC34	CHR_HSCHR1_1_CTG3	2635571	2801699
MLANA	9	5890802	5910606
FBF1	17	75909574	75941140
IGF2R	6	159969099	160113507
ATP9B	CHR_HSCHR18_ALT2_CTG2_1	79072883	79091276
DMKN	19	35497220	35513658
PSMB8	CHR_HSCHR6_MHC_DBB_CTG1	32818694	32822680
RNF5	6	32178354	32180793
PLEKHH3	17	42667914	42676994
TAS2R43	CHR_HSCHR12_2_CTG2	11091308	11166192
MYT1	CHR_HSCHR20_1_CTG3	64155437	64245898
PPP1R26	9	135479079	135488893
LURAP1	1	46203334	46221261
LLGL2	17	75525080	75575208
TEX19	17	82359247	82363776
ADAD1	4	122378966	122429802
PAPD7	5	6713007	6757048
CAPN6	X	111245103	111270523
TRIM28	19	58544091	58550722
TAS2R31	CHR_HSCHR12_2_CTG2	11030387	11062350
CARHSP1	16	8852942	8869012
VARS2	CHR_HSCHR6_MHC_COX_CTG1	30898107	30916176
PLCG2	16	81739097	81962693
PPA2	4	105369077	105474081
TAS2R14	CHR_HSCHR12_2_CTG2	10937406	11203521
OR6Y1	1	158547128	158548105
TOPORS	9	32540544	32552553
RBBP8	18	22798261	23026488
ZNF333	19	14689801	14733746
HLA-DOB	6	32812763	32817048
NCKAP5L	12	49791146	49828750
FGFR4	5	177086886	177098144
WDR54	2	74421678	74425755
FDX1L	19	10310045	10316015
RMND1	6	151404763	151452181
TRAPPC8	18	31829173	31953136
ZNF775	7	150368790	150410597
TPP2	13	102597003	102679958
PSMD5	9	120815496	120842984
MRPL39	21	25585656	25607517
SSBP4	19	18418864	18434562
PSORS1C1	CHR_HSCHR6_MHC_MANN_CTG1	31159671	31184970
VPS52	CHR_HSCHR6_MHC_MCF_CTG1	33420661	33442416
PRR18	6	166305300	166308448
SNX33	15	75647906	75662301
LPXN	11	58526871	58578220
HIST4H4	12	14767999	14771131
BMP2	20	6767664	6780280
OR6P1	1	158562651	158563604
HDAC6	X	48801377	48824982
CYP1A1	15	74719542	74725610
TFPI	2	187464230	187565760
MAPK15	8	143716259	143722458
CCDC146	7	77122434	77329533
ARL4A	7	12686856	12690934
GYS2	12	21536189	21604847
PSMB3	CHR_HSCHR17_7_CTG4	38553523	38565018
PLAA	9	26904083	26947463
EMC6	17	3668815	3669668
ISCU	12	108562582	108569384
SGCD	5	155870344	156767788
IFIT1B	10	89378056	89385205
FBXO39	17	6776223	6797101
SAMD9	7	93099513	93118023
HAP1	17	41717742	41734644
IL2RG	X	71107404	71112108
RTN4RL1	17	1934677	2025345
ABCA10	17	69147214	69244846
UQCRC2	16	21952660	21983660
PABPC1	8	100685816	100722809
FAH	15	80152490	80186946
CCDC89	11	85684866	85686277
RPS26	12	56041853	56044675
LIPA	10	89213569	89414557
SRM	1	11054584	11060024
ZNF624	17	16620737	16653856
RPS27A	2	55231903	55235853
TNFSF15	9	114784635	114806126
CNTROB	17	7932101	7949918
SORBS1	10	95311771	95561414
HNF1A	12	120978543	121002512
MUM1L1	X	106168305	106208956
C11orf74	11	36594493	36659290
UFL1	6	96521595	96555276
INPP5J	22	31122731	31134696
SMC1B	22	45344063	45413619
ARMC2	6	108848416	108974472
BPIFB3	20	33055424	33073628
RNF168	3	196468783	196503768
MYOZ2	4	119135784	119187789
OR5A1	11	59443144	59444194
ZNF555	19	2841435	2860484
RPSA	3	39406689	39412542
METRNL	CHR_HSCHR17_1_CTG9	83077507	83097050
MYH1	17	10492307	10518543
CORO2A	9	98120975	98192640
OR51I2	11	5453489	5454427
RAB3GAP2	1	220148293	220272454
NNT	5	43602692	43707405
VTI1A	10	112446998	112818744
HSPA12A	10	116671192	116742574
INPP4B	4	142023160	142847432
LRRC40	1	70144805	70205620
PRKRIP1	7	102363872	102426676
ANAPC4	4	25377213	25418498
LRRC8D	1	89821014	89936611
PRR15L	17	47951967	47957878
PPP1R11	CHR_HSCHR6_MHC_COX_CTG1	30056599	30060223
GUSB	7	65960684	65982314
MDH2	7	76048051	76067508
GPS1	17	82050691	82057470
TMPRSS11F	4	68053198	68129880
FEM1B	15	68277803	68295865
TRMT44	4	8436140	8493531
CALY	10	133324072	133336935
ZNF436	1	23359448	23369442
FARS2	6	5261044	5771580
FAM53C	5	138331935	138349729
KIR2DL4	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1	54789912	54800893
CACNG8	19	53963040	53990215
ZSCAN10	16	3088890	3099317
G6PC2	2	168901240	168910000
SYTL4	X	100674491	100732123
WDR13	X	48590042	48608867
FA2H	16	74712955	74774831
TRIM35	8	27284887	27311319
MCCC2	5	71587288	71658704
C19orf81	19	50649445	50659310
CTNS	17	3636468	3661542
ZBED2	3	111592900	111595443
GPR137B	1	236142505	236221865
GPS2	17	7311324	7315564
FAM160A1	4	151409216	151663632
C6	5	41142234	41261438
GSG2	17	3723903	3726699
VPS18	15	40894430	40903975
RGS2	1	192809039	192812283
GCK	7	44144271	44198170
PDHX	11	34915829	35020591
ATAT1	6	30626842	30646823
LILRB2	CHR_HSCHR19LRC_COX1_CTG3_1	54274195	54281689
HNRNPC	14	21209136	21269494
PSMB3	17	38752736	38764231
CENPW	6	126340174	126348875
MBD2	18	54151601	54224788
MRPL19	2	75646783	75690851
TCF4	18	55222331	55664787
CCDC159	19	11344684	11354944
TMEM132B	12	125186836	125662377
SUDS3	12	118376380	118418031
DNASE1L3	3	58192257	58214697
RPL27A	11	8682411	8714759
PPIA	7	44796680	44824564
CLIC1	CHR_HSCHR6_MHC_MANN_CTG1	31770035	31779217
C9orf9	9	132878027	132890201
ERAP1	5	96760810	96808100
CPXM1	20	2794069	2800637
SRCIN1	CHR_HSCHR17_7_CTG4	38330785	38406717
OR51M1	11	5389399	5390379
ZBTB4	17	7459366	7484263
SSR2	1	156009048	156020959
P2RX6	22	21009808	21028830
VAX1	10	117128521	117138301
PNPLA2	11	818902	825573
TNFRSF10D	8	23135588	23164030
SLC35A2	X	48903180	48911958
TAP2	CHR_HSCHR6_MHC_DBB_CTG1	32799958	32816755
SERTM1	13	36673912	36697839
BPTF	17	67825524	67984378
ITGBL1	13	101452593	101720856
ZNF391	6	27374615	27403904
LONP2	16	48244296	48363122
CLDN7	17	7259903	7263983
AAAS	12	53307456	53324864
TLCD1	17	28724348	28727935
